43,@user @user second grade called dirty jew another second grade girl. made sense @url,offensive,indirect,shock_indifference,religion,jews
44,@user shut raghead.....,offensive,indirect,shock_disgust,origin,muslims
45,@user what's spic_,offensive_disrespectful,indirect,shock_disgust,origin,other
46,think women might retarded bro. like possesses y'all say shit y'all say? ,offensive,indirect,anger_fear_indifference_sadness_disgust,disability,special_needs
47,children = 52% refugees,fearful_abusive_hateful_normal,indirect,anger_sadness,gender,refugees
48,@user @user msnbc identified terrorist organization! leftist media well!,fearful_abusive_offensive_disrespectful_normal,indirect,confusion_sadness_shock_indifference_disgust,other,other
49,doesnt right? negro default,fearful_offensive_disrespectful_hateful_normal,indirect,confusion_sadness_shock_indifference_disgust,origin,african_descent
50,@user wtf gym king phone little twat,offensive,direct,anger_disgust,origin,women
51,absolute mongoloid gtfo lmaooo @url,offensive,indirect,confusion_sadness_shock_indifference_disgust,disability,special_needs
52,retarded. okay perfect.,offensive,indirect,anger_sadness,disability,special_needs
53,@user @user coincidentally timed caravan love coming shithole countries pretty sure unrelated ,hateful,indirect,anger_shock,origin,immigrants
54,fucking hate sonic drops coins valuable little cunt slow,offensive,direct,anger_sadness,gender,women
55,@user mean platonic dyke way @url,normal,indirect,anger_sadness_shock_indifference_disgust,sexual_orientation,gay
56,@user haiti listed second worse place travel shithole talking @url,normal,indirect,sadness_indifference,origin,other
57,dyke nation? @url,offensive,indirect,anger_sadness,other,other
58,@user put mic retard,offensive,indirect,anger_sadness,disability,special_needs
59,okay forgive u- u spic ;) @url,offensive,indirect,anger_sadness,origin,other
60,many mdsz's classical golden scenes cut stupid retarded shitty idea going @url,offensive_normal,indirect,confusion_sadness_shock_indifference_disgust,disability,special_needs
61,parar anorexic mongol.,normal,indirect,sadness_disgust,disability,special_needs
62,@user @user parody one thing twat funny.,offensive,indirect,anger_sadness,other,women
63,@user swear .. white people fucking retarded ...,hateful_disrespectful,indirect,confusion_fear_shock_indifference_disgust,disability,special_needs
64,never called kike dirty jew @user began campaign. hateful rhetoric ha @url,hateful_normal,indirect,anger_indifference,other,other
65,@user called faggot stole wall burger king bathroom,offensive,indirect,confusion_fear_shock_indifference_sadness,origin,women
66,@user @user go back shithole country grab pussy,offensive,indirect,shock_disgust,origin,immigrants
67,@user look retarded,hateful_disrespectful,indirect,shock_disgust,disability,special_needs
68,wish could around see one shithole-countries rule world one day. (better yet trump still around.),hateful,indirect,sadness_indifference,origin,other
69,@user @user that's retarded thing ever seen twitter.,offensive,indirect,shock_disgust,disability,special_needs
70,fucking fat anorexic gay homophobic mexican nigger retard pig @user,offensive,indirect,confusion_fear_shock_sadness_disgust,disability,refugees
71,maybe i'm retarded,fearful_abusive_offensive_hateful_disrespectful,indirect,anger_indifference,disability,special_needs
72,migraction 59 en faveur des migrants de calais @url via @user,fearful_normal,indirect,fear_indifference,origin,other
73,twat @url,offensive,indirect,confusion_indifference,gender,women
74,nigga didnt realize fox news negro thought talking shit white women would ok @url,offensive_disrespectful,indirect,shock_disgust,origin,women
75,@user reread shit illiterate twat,offensive,indirect,confusion_indifference,other,women
76,@user ching ching chong :),offensive,indirect,anger_confusion_sadness_indifference_disgust,origin,other
77,@user @user fuck suicide male prostitute rubbish chinaman lee hsien loong imagining h @url,offensive,indirect,confusion_sadness_shock_indifference_disgust,origin,muslims
78,helped bring alc ae pi party faggot trying kick out. i've less min. fa @url,offensive,indirect,anger_confusion_fear_shock_indifference,other,other
79,games c9 surrender look svenskaren go full retard game 2.,fearful_offensive,indirect,anger_confusion_sadness_indifference_disgust,disability,special_needs
80,stop pleasin' strangersninstead fam'ly twat!,offensive,indirect,anger_disgust,gender,other
81,@user okay giving benefits illegal aliens? ary okay working illegally? ar @url,hateful,indirect,anger_sadness,origin,immigrants
82,mongoloid literally said wrong place 15 times. @url,offensive,indirect,anger_sadness,origin,special_needs
83,everyone calls mongy jess hate,offensive,indirect,sadness_disgust,other,other
84,@user fuck mongy bin dipper,offensive,indirect,anger_confusion_fear_shock_indifference,disability,special_needs
85,@user i'd assume nonce like say retard. harsh,abusive_offensive_hateful_disrespectful_normal,indirect,anger_confusion_sadness_indifference_disgust,disability,special_needs
86,everything better. cunt alive..,offensive,indirect,anger_sadness,gender,women
87,@user @user could given shithole countries money,offensive_disrespectful,indirect,sadness_disgust,origin,other
88,cunt wants grab generation scruff neck getting fucking stupid @url,offensive,indirect,anger_confusion_fear_shock_indifference,gender,women
89,need @user tell i'm twat right here!,offensive,indirect,confusion_indifference,gender,special_needs
90,@user twat,offensive,indirect,indifference_disgust,gender,women
91,@user unaccounted illegal aliens happy. tufail one,offensive,indirect,anger_sadness,origin,immigrants
92,opposed using word retard retarded would think ok use word libtard?!,offensive,indirect,anger_confusion_fear_shock_indifference,disability,other
93,living real white got soul still spic !,offensive,direct,anger_shock,origin,refugees
94,@user @user economic asylum thing. neither country shithole asylum. nnhow @url,abusive_offensive_hateful_disrespectful_normal,indirect,confusion_indifference,origin,other
95,retarded toxic femininity  @url,offensive,indirect,confusion_indifference,gender,women
96,@user rather clear thinknnhe'd rather chinaman would different reason,fearful_abusive_offensive_hateful_disrespectful,indirect,anger_sadness_shock_indifference_disgust,origin,individual
97,baby knows potus #mongoloid,hateful,indirect,anger_sadness,disability,other
98,man leave one week first twat nut,abusive_offensive_hateful_disrespectful_normal,indirect,confusion_indifference,other,women
99,@user america shithole country los angeles good.,hateful,indirect,anger_disgust,origin,other
100,@user sigh.. said spic..,offensive,indirect,confusion_indifference,origin,other
101,@user nigger,offensive,indirect,anger_disgust,origin,individual
102,scomo biggest faggot madden historyhe bashes everyone anything madden @url,offensive,indirect,anger_confusion,sexual_orientation,other
103, gimme break gimme break. break piece fat retard  @url,disrespectful,indirect,indifference_disgust,other,other
104,@user think retard tbh success twitters made automatically post discord many use @url,offensive,indirect,anger_shock,disability,special_needs
105,@user everything enraging. smug little twat.,fearful_abusive_offensive_disrespectful_normal,indirect,anger_disgust,gender,women
106,smelly psy blk mom tryin tu send retard kid blk goons car nights sleepnnthe leader smelly @url,offensive,direct,anger_disgust,origin,women
107,trump hate jews lmfao ya niggas full retard. know work @user @user right? @url,offensive,indirect,sadness_indifference,disability,special_needs
108,buy @user @user @user @user @user @user regularly alternatives @url,normal,indirect,indifference_disgust,other,women
