HITId,tweet,sentiment,directness,annotator_sentiment,target,group
1,call sis im boy girl still faggot shut,offensive,indirect,confusion_disgust,origin,gay
2,@user @user legit nilas retarded idk,offensive_disrespectful,indirect,anger_confusion,disability,special_needs
3,said retard @url,fearful_abusive_offensive_hateful,indirect,confusion_disgust,disability,special_needs
4,america another 8 years obama's ideology via hillary we'd well way shithole country.,fearful_abusive_hateful_disrespectful_normal,indirect,anger_fear_shock_sadness_disgust,origin,other
5,@user don... fucking made cry twat.,offensive,indirect,shock_disgust,gender,women
6,one wants 2 negro swan,offensive,indirect,anger_sadness,origin,left_wing_people
7,@user @user @user hahaha. one trump's shithole countries?,offensive,indirect,confusion_sadness_indifference_disgust,origin,other
8,u juul ur faggot,offensive,indirect,confusion_fear_indifference_sadness_disgust,sexual_orientation,other
9,@user @user even called country shithole people shithole people. sad.,offensive,indirect,anger_fear_indifference_sadness_disgust,origin,special_needs
10,canadians never met seen associated person currently labelled retarded . plan @url,offensive,indirect,sadness_indifference,disability,special_needs
11,@user @user south africa years come. keep supporting loud mouth poli @url,offensive,indirect,confusion_indifference,origin,other
12,@user i'm oprah winfrey. oprah singing faggot,offensive,direct,confusion_indifference,sexual_orientation,individual
13,hahaha grow faggot @url,offensive,indirect,shock_disgust,sexual_orientation,women
14,@user michael - live one 'shithole' countries tell caravan respective @url,offensive,indirect,shock_disgust,origin,immigrants
